3.3014 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
63.7661 	DATA 	Keypress: up
63.7723 	EXP 	question_text: autoDraw = False
63.7723 	EXP 	level_text: autoDraw = False
63.7723 	EXP 	level_text: text = 0.02238721138568336
63.7723 	EXP 	question_text: autoDraw = True
63.7723 	EXP 	level_text: autoDraw = True
63.9162 	DATA 	Keypress: up
63.9220 	EXP 	question_text: autoDraw = False
63.9220 	EXP 	level_text: autoDraw = False
63.9220 	EXP 	level_text: text = 0.02511886431509576
63.9220 	EXP 	question_text: autoDraw = True
63.9220 	EXP 	level_text: autoDraw = True
64.0492 	DATA 	Keypress: up
64.0559 	EXP 	question_text: autoDraw = False
64.0559 	EXP 	level_text: autoDraw = False
64.0559 	EXP 	level_text: text = 0.02818382931264449
64.0559 	EXP 	question_text: autoDraw = True
64.0559 	EXP 	level_text: autoDraw = True
64.2001 	DATA 	Keypress: up
64.2058 	EXP 	question_text: autoDraw = False
64.2058 	EXP 	level_text: autoDraw = False
64.2058 	EXP 	level_text: text = 0.031622776601683736
64.2058 	EXP 	question_text: autoDraw = True
64.2058 	EXP 	level_text: autoDraw = True
64.3504 	DATA 	Keypress: up
64.3561 	EXP 	question_text: autoDraw = False
64.3561 	EXP 	level_text: autoDraw = False
64.3561 	EXP 	level_text: text = 0.035481338923357475
64.3561 	EXP 	question_text: autoDraw = True
64.3561 	EXP 	level_text: autoDraw = True
64.4944 	DATA 	Keypress: up
64.6653 	DATA 	Keypress: up
64.6729 	EXP 	question_text: autoDraw = False
64.6729 	EXP 	level_text: autoDraw = False
64.6729 	EXP 	level_text: text = 0.039810717055349644
64.6729 	EXP 	question_text: autoDraw = True
64.6729 	EXP 	level_text: autoDraw = True
64.8168 	DATA 	Keypress: up
64.8233 	EXP 	question_text: autoDraw = False
64.8233 	EXP 	level_text: autoDraw = False
64.8233 	EXP 	level_text: text = 0.044668359215096216
64.8233 	EXP 	question_text: autoDraw = True
64.8233 	EXP 	level_text: autoDraw = True
64.9668 	DATA 	Keypress: up
64.9732 	EXP 	question_text: autoDraw = False
64.9732 	EXP 	level_text: autoDraw = False
64.9732 	EXP 	level_text: text = 0.050118723362727116
