trials.thisTrialN,trials.stepSize,trials.intensity,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,sound_1.started,sound_1.stopped,trials.response,key_resp.rt,key_resp.started,key_resp.stopped,question_text.started,question_text.stopped,level_text.started,level_text.stopped,participant,input,session,date,expName,psychopyVersion,frameRate,
23,0.05,0.6309573444801934,,,,,,,40.69392656663355,None,0,0.14034939999692142,40.69129160000011,None,40.69129160000011,None,40.69129160000011,None,,0.2,001,2020_Oct_19_1527,temp,2020.1.3,None,
24,0.05,0.707945784384138,,,,,,,40.853900066638985,None,0,0.13175650004995987,40.86381159996381,None,40.86381159996381,None,40.86381159996381,None,,0.2,001,2020_Oct_19_1527,temp,2020.1.3,None,
25,0.05,0.7943282347242816,,,,,,,41.01431016665107,None,0,0.11689850001130253,41.01079639996169,None,41.01079639996169,None,41.01079639996169,None,,0.2,001,2020_Oct_19_1527,temp,2020.1.3,None,
26,0.05,0.8912509381337456,,,,,,,41.147355266617765,None,0,0.18178500002250075,41.14467399998102,None,41.14467399998102,None,41.14467399998102,None,,0.2,001,2020_Oct_19_1527,temp,2020.1.3,None,
27,0.05,1.0,,,,,,,41.34754826664381,None,1,0.500814100028947,41.344367999990936,None,41.344367999990936,None,41.344367999990936,None,,0.2,001,2020_Oct_19_1527,temp,2020.1.3,None,
28,0.05,0.8912509381337456,,,,,,,41.880811366663934,None,1,0.1647145999595523,41.877772799984086,None,41.877772799984086,None,41.877772799984086,None,,0.2,001,2020_Oct_19_1527,temp,2020.1.3,None,
29,0.05,0.7943282347242816,,,,,,,42.08113706665269,None,1,0.13057640002807602,42.07882219995372,None,42.07882219995372,None,42.07882219995372,None,,0.2,001,2020_Oct_19_1527,temp,2020.1.3,None,
30,0.05,0.707945784384138,,,,,,,42.22826366662436,None,1,0.1460792000289075,42.22488890000386,None,42.22488890000386,None,42.22488890000386,None,,0.2,001,2020_Oct_19_1527,temp,2020.1.3,None,
31,0.05,0.6309573444801934,,,,,,,42.38828206662244,None,1,0.4988191000302322,42.39805749995867,None,42.39805749995867,None,42.39805749995867,None,,0.2,001,2020_Oct_19_1527,temp,2020.1.3,None,
32,0.05,0.5623413251903492,,,,,,,42.92152316664966,None,1,1.1911024000146426,42.93143409996992,None,42.93143409996992,None,42.93143409996992,None,,0.2,001,2020_Oct_19_1527,temp,2020.1.3,None,
33,0.05,0.5011872336272725,,,,,,,44.16221376666023,None,0,0.3867978000198491,44.159697700000834,None,44.159697700000834,None,44.159697700000834,None,,0.2,001,2020_Oct_19_1527,temp,2020.1.3,None,
34,0.05,0.5623413251903492,,,,,,,44.56225876661871,None,0,0.15296869998564944,44.559932599950116,None,44.559932599950116,None,44.559932599950116,None,,0.2,001,2020_Oct_19_1527,temp,2020.1.3,None,
35,0.05,0.6309573444801934,,,,,,,44.735367166638994,None,0,0.531901000009384,44.74545309995301,None,44.74545309995301,None,44.74545309995301,None,,0.2,001,2020_Oct_19_1527,temp,2020.1.3,None,
36,0.05,0.707945784384138,,,,,,,45.29605186666983,None,0,0.3815016999724321,45.30471860000398,None,45.30471860000398,None,45.30471860000398,None,,0.2,001,2020_Oct_19_1527,temp,2020.1.3,None,
